"gene_symbol","tissue","baseMean","log2FoldChange","pvalue"
"SLC25A4","HEART",9.98231035695112,-2.74324936239926,1.66175947207941e-07
"SLC8A1","LIVER",7.22309898841482,4.69503004431179,0.000204203799829262
"SLC41A1","LIVER",8.84308772971435,4.4435280361149,0.00060698588860425
"SLC4A3","LIVER",4.53420699896276,5.33512074011741,0.000615623665451587
"SLC44A4","SKIN",3.044476882578,4.1084866470848,0.000567551942646529
"SLC9A3","SKIN",4.21745421667634,3.97287945129224,0.00101874414764867
"SLC9B2","LIVER",2.28338890647847,4.28529604233034,0.00302522634304719
"SLCO5A1","LIVER",2.12193496351073,4.15670034491612,0.00385507406653508
"SLC2A4","LIVER",4.35245715464841,3.84741368010645,0.00512403982835203
"SLC1A3","LIVER",1.93949108124053,3.94580092894047,0.0058382060954223
"SLC34A2","LIVER",1.79902707757523,3.84497626933428,0.00740434148253271
"SLC25A12","LIVER",2.61746836947453,3.7502751706019,0.00754592897337159
"SLC10A2","LIVER",1.83061547597554,3.91432471488489,0.00766087914626001
"SLC44A2","LIVER",4.86706370415517,3.19007256025379,0.00773804682148707
"SLC25A3","LIVER",9.22688958363263,2.92573446394248,0.00975017386897296
"ABCA7","LIVER",2.34158861821962,3.50818550967714,0.00981226824027351
"SLC43A2","LIVER",21.782743391868,-2.20238253529776,0.010535637888953
"SLC6A19","LIVER",1.64179797371656,3.71770946451605,0.0108638145523081
"SLCO3A1","LIVER",4.25421283702077,3.26300930579127,0.0145362372547061
"SLC25A11","LIVER",4.15977709234037,3.26503091715897,0.0148356583509407
"SLC27A1","LIVER",3.02168769378242,3.25655421579778,0.0160161541037576
"SLC25A34","LIVER",3.21823117349418,3.31485606156758,0.0162294439591557
"SLC35F5","LIVER",1.93387838686935,3.23333596138633,0.0165133830358233
"SLC15A1","LIVER",1.45298047145758,3.48235509837812,0.0167696495448825
"SLC7A9","LIVER",1.45298047145758,3.48235509837812,0.0167696495448825
"SLC25A23","LIVER",2.64732381746712,3.0844378064383,0.0172287532094198
"ABCC9","LIVER",3.33782331317155,3.40882511184436,0.0172504469150804
"SLC16A7","LIVER",2.78236791205005,3.14526360164234,0.0190535419440895
"SLC13A3","LUNG",2.71683287341117,3.8859646520551,0.0016497513653039
"SLC44A4","LUNG",2.23949097799535,3.64229041591596,0.00236911941714741
"ABCC6","LUNG",2.07750222861359,4.00038509394186,0.00270399702690561
"SLC4A4","LUNG",3.91144136563068,2.81838598441759,0.00296464243582868
"SLC35A5","LIVER",1.33120816103686,3.31747556096428,0.0210838261553804
"SLC5A8","LIVER",1.35857172032809,3.34414012009219,0.0218186100182642
"SLC34A3","LIVER",1.39094519321828,3.30698710094306,0.0234294277069592
"SLC25A46","LIVER",1.81115236554221,3.09591458756807,0.0246756585042817
"SLC35E4","LIVER",1.31657267048482,3.24240309841185,0.0258226242951418
"SLC5A12","LIVER",1.8203792959377,3.1256595186579,0.0261031052396724
"ABCA12","LIVER",2.05200791608073,3.16469189639927,0.0280655106246122
"SLC5A1","LIVER",4.11354239076554,3.17333201383696,0.0286256841483038
"SLC35B4","LIVER",3.68683342006496,2.34211142101072,0.0318777154715082
"SLC27A3","LIVER",1.29653644208879,3.13546224566045,0.0343529507806598
"ABCA5","LIVER",2.11245970909049,2.71332362282855,0.0346439129004615
"SLC22A15","LIVER",1.42013775719557,2.81884810420257,0.041533476153735
"SLC13A2","LIVER",1.16975421806911,3.00650776253997,0.0415832020302101
"SLC25A16","LIVER",1.16975421806911,3.00650776253997,0.0415832020302101
"SLC4A8","LIVER",1.16975421806911,3.00650776253997,0.0415832020302101
"SLC5A11","LIVER",1.16975421806911,3.00650776253997,0.0415832020302101
"SLC16A4","LIVER",1.15607243842349,2.9862000922272,0.0428687377932256
"SLC25A43","LIVER",1.15607243842349,2.9862000922272,0.0428687377932256
