Tissue,Gene,baseMean,log2FoldChange (HFHS/Ct),lfcSE,stat,pvalue,padj,score
Muscle,ABCA1,335.2880812,2.701178223,1.412396752,1.91247836,NA,NA,NA
SmIntestine,ABCA1,38.22894936,1.66258934,1.392001334,1.194387749,0.232326327,0.999951041,3.54E-05
Lung,ABCA1,77.48899625,0.402044271,0.956127465,0.420492335,0.674125828,0.99193722,0.001413513
WAT,ABCA1,66.99985554,0.062716391,1.118941454,0.056049752,0.955302173,0.991766388,0.00022519
Heart,ABCA1,25.14746288,0.419075407,1.190534009,0.352006246,0.724833579,0.910110055,0.017142735
Skin,ABCA1,80.67048009,-0.601007367,1.067321398,-0.563098771,0.573367628,0.90679012,0.025538738
Spleen,ABCA1,49.33943971,-0.56804508,0.9677667,-0.586964896,0.557227283,0.898188772,0.026489293
KidneyMedulla,ABCA1,51.61311508,-0.935854055,1.132587134,-0.826297621,0.408635283,0.891138159,0.046844137
KidneyCortex,ABCA1,91.57388561,1.223128128,0.935485428,1.307479616,0.191049873,0.706191726,0.184786987
Liver,ABCA1,94.50483789,-2.40583676,1.492441324,-1.612014303,0.106958827,0.502002969,0.72005182
LgIntestine,ABCA1,39.51411231,1.349893163,0.904806095,1.491914313,0.13572161,0.450843652,0.467027993
Muscle,ABCA12,0,NA,NA,NA,NA,NA,NA
SmIntestine,ABCA12,0,NA,NA,NA,NA,NA,NA
WAT,ABCA12,0.452186768,-1.57225191,3.036932034,-0.517710602,NA,NA,NA
Spleen,ABCA12,0.927440726,4.367201732,2.605972528,1.67584335,NA,NA,NA
LgIntestine,ABCA12,1.478392517,-3.374036551,2.016032794,-1.673602017,NA,NA,NA
Heart,ABCA12,2.196435933,1.779047612,2.955724415,0.601899014,NA,NA,NA
KidneyCortex,ABCA12,4.278636949,4.240857519,3.006373035,1.410622524,NA,NA,NA
Skin,ABCA12,8.581825957,0.60559489,2.912375358,0.207938475,NA,NA,NA
Liver,ABCA12,13.05415774,4.83595694,2.644599997,1.828615649,NA,NA,NA
KidneyMedulla,ABCA12,6.408263758,-3.039842619,3.135606201,-0.969459308,0.332316074,NA,NA
Lung,ABCA12,15.29669841,0.532075176,2.915109959,0.182523192,0.855172155,0.995739575,0.000986591
SmIntestine,ABCA2,43.0679392,1.579900027,1.294423307,1.220543557,0.222258888,0.999951041,3.36E-05
KidneyMedulla,ABCA2,37.56046143,-0.268575395,1.149996051,-0.233544624,0.815338522,0.985327474,0.001724095
Lung,ABCA2,30.63384708,-0.783565352,0.906021154,-0.864842226,0.387125391,0.960541764,0.013699659
