"gene_tissue","gene_Symbol","tissue","1_Chow","1_HF","2_Chow","2_HF","3_Chow","3_HF","4_Chow","4_HF","5_Chow","5_HF"
"ABCA1_HEART","ABCA1","HEART",2,12,1,9,1,21,2,7,4,1
"ABCA1_KIDNEY-CORTEX","ABCA1","KIDNEY-CORTEX",2,13,8,17,8,15,5,26,5,15
"ABCA1_KIDNEY-MED","ABCA1","KIDNEY-MED",1,1,1,6,NA,8,1,2,1,29
"ABCA1_LARGE","ABCA1","LARGE",1,10,1,1,1,17,2,7,3,1
"ABCA1_LIVER","ABCA1","LIVER",0,6,0,3,56,8,6,8,1,12
"ABCA1_LUNG","ABCA1","LUNG",0,21,1,6,7,19,1,13,5,3
"ABCA1_MUSCLE","ABCA1","MUSCLE",0,18,1,6,1,12,1,16,6,21
"ABCA1_SKIN","ABCA1","SKIN",0,5,2,7,6,13,1,13,6,9
"ABCA1_SMALL","ABCA1","SMALL",1,3,0,3,2,5,1,5,2,3
"ABCA1_SPLEEN","ABCA1","SPLEEN",2,11,0,30,1,4,2,1,4,8
"ABCA1_WAT","ABCA1","WAT",0,1,0,10,7,5,0,1,9,9
"ABCA12_HEART","ABCA12","HEART",0,1,0,5,1,1,0,0,0,1
"ABCA12_KIDNEY-CORTEX","ABCA12","KIDNEY-CORTEX",0,0,0,0,0,0,0,14,0,1
"ABCA12_KIDNEY-MED","ABCA12","KIDNEY-MED",1,1,1,1,NA,1,0,1,1,1
"ABCA12_LARGE","ABCA12","LARGE",1,1,1,1,1,0,0,1,1,1
"ABCA12_LIVER","ABCA12","LIVER",0,1,0,5,0,1,1,1,1,1
"ABCA12_LUNG","ABCA12","LUNG",0,0,1,1,0,10,0,0,0,2
"ABCA12_MUSCLE","ABCA12","MUSCLE",0,1,1,1,0,1,0,0,0,1
"ABCA12_SKIN","ABCA12","SKIN",0,4,1,1,0,1,0,1,0,1
"ABCA12_SMALL","ABCA12","SMALL",0,1,0,1,0,0,0,1,0,1
"ABCA12_SPLEEN","ABCA12","SPLEEN",0,1,0,9,1,1,0,1,0,1
"ABCA12_WAT","ABCA12","WAT",0,1,0,1,0,1,0,1,2,1
"ABCA2_HEART","ABCA2","HEART",2,8,1,9,1,16,1,4,4,1
"ABCA2_KIDNEY-CORTEX","ABCA2","KIDNEY-CORTEX",2,16,3,11,11,9,5,19,6,10
"ABCA2_KIDNEY-MED","ABCA2","KIDNEY-MED",1,1,1,5,NA,7,1,3,1,19
"ABCA2_LARGE","ABCA2","LARGE",1,6,1,1,1,9,2,2,3,1
"ABCA2_LIVER","ABCA2","LIVER",0,11,0,3,5,1,6,7,1,17
"ABCA2_LUNG","ABCA2","LUNG",0,14,1,2,3,14,1,8,6,4
"ABCA2_MUSCLE","ABCA2","MUSCLE",0,10,1,5,2,10,2,10,5,4
"ABCA2_SKIN","ABCA2","SKIN",0,4,2,8,3,11,1,9,7,7
"ABCA2_SMALL","ABCA2","SMALL",1,2,0,3,4,6,1,4,3,4
"ABCA2_SPLEEN","ABCA2","SPLEEN",1,8,0,26,1,5,3,1,4,4
"ABCA2_WAT","ABCA2","WAT",0,1,0,21,9,6,0,1,7,13
"ABCA3_HEART","ABCA3","HEART",2,13,1,4,1,7,1,4,2,1
"ABCA3_KIDNEY-CORTEX","ABCA3","KIDNEY-CORTEX",1,3,2,5,4,4,2,13,3,14
"ABCA3_KIDNEY-MED","ABCA3","KIDNEY-MED",1,1,1,1,NA,3,1,2,1,3
"ABCA3_LARGE","ABCA3","LARGE",1,6,1,1,1,1,1,2,2,1
"ABCA3_LIVER","ABCA3","LIVER",0,3,0,1,9,2,3,6,1,5
"ABCA3_LUNG","ABCA3","LUNG",0,2,1,3,2,8,1,11,2,1
"ABCA3_MUSCLE","ABCA3","MUSCLE",0,6,1,5,2,13,1,2,2,5
"ABCA3_SKIN","ABCA3","SKIN",0,2,1,12,1,3,1,5,2,3
"ABCA3_SMALL","ABCA3","SMALL",1,1,0,3,1,2,1,2,2,2
"ABCA3_SPLEEN","ABCA3","SPLEEN",2,4,0,15,1,2,1,1,2,3
"ABCA3_WAT","ABCA3","WAT",0,1,0,5,3,5,0,1,6,5
"ABCA4_HEART","ABCA4","HEART",1,1,0,1,1,2,0,0,1,1
"ABCA4_KIDNEY-CORTEX","ABCA4","KIDNEY-CORTEX",0,3,1,1,3,3,1,0,1,1
"ABCA4_KIDNEY-MED","ABCA4","KIDNEY-MED",0,1,1,1,NA,0,0,1,1,5
"ABCA4_LARGE","ABCA4","LARGE",1,1,1,1,1,1,1,1,1,1
"ABCA4_LIVER","ABCA4","LIVER",0,1,0,1,0,1,0,1,1,1
"ABCA4_LUNG","ABCA4","LUNG",0,4,0,1,1,1,0,1,1,1
"ABCA4_MUSCLE","ABCA4","MUSCLE",0,2,1,1,0,2,1,4,2,1
"ABCA4_SKIN","ABCA4","SKIN",0,1,1,1,0,2,1,1,1,1
"ABCA4_SMALL","ABCA4","SMALL",0,1,0,1,1,1,0,1,1,2
"ABCA4_SPLEEN","ABCA4","SPLEEN",0,2,0,1,1,1,1,1,0,1
"ABCA4_WAT","ABCA4","WAT",0,1,0,5,4,1,0,1,1,1
"ABCA5_HEART","ABCA5","HEART",1,2,1,1,1,4,1,6,2,1
"ABCA5_KIDNEY-CORTEX","ABCA5","KIDNEY-CORTEX",0,3,2,6,4,1,1,10,2,1
"ABCA5_KIDNEY-MED","ABCA5","KIDNEY-MED",1,1,1,1,NA,2,1,1,1,10
"ABCA5_LARGE","ABCA5","LARGE",1,10,1,1,1,6,1,1,1,1
"ABCA5_LIVER","ABCA5","LIVER",0,2,0,1,1,1,1,5,1,5
"ABCA5_LUNG","ABCA5","LUNG",0,8,1,1,3,9,0,3,2,2
"ABCA5_MUSCLE","ABCA5","MUSCLE",0,3,1,4,1,3,1,6,1,2
"ABCA5_SKIN","ABCA5","SKIN",0,2,0,2,2,3,1,4,3,1
"ABCA5_SMALL","ABCA5","SMALL",1,1,0,2,1,2,1,1,2,1
"ABCA5_SPLEEN","ABCA5","SPLEEN",1,3,0,8,1,1,1,1,0,2
"ABCA5_WAT","ABCA5","WAT",0,1,0,5,3,7,0,1,4,5
"ABCA6_HEART","ABCA6","HEART",2,2,1,5,1,3,2,1,2,1
"ABCA6_KIDNEY-CORTEX","ABCA6","KIDNEY-CORTEX",1,3,1,8,2,8,4,8,4,4
"ABCA6_KIDNEY-MED","ABCA6","KIDNEY-MED",1,1,1,1,NA,2,0,2,1,8
